Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,Tipo,ID,Ciudad,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
220000,"Belgrano, Capital Federal",,1.0,22.0,La Pampa al 1200,no,220000.0,10000.0,departamentos-,53981718,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"La Pampa 1200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5631839,-58.4514242
450000,"Belgrano, Capital Federal",$ 58.000 Expensas,2.0,45.0,Cabildo 500,no,450000.0,10000.0,departamentos-,53866848,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cabildo 500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5564337,-58.461483
USD 600,"Belgrano, Capital Federal",$ 180.000 Expensas,2.0,55.0,Freire al 2400,si,849000.0,1.54363636363636e+16,departamentos-,53779410,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Freire 2400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5639143,-58.4667987
USD 1.700,"Belgrano, Capital Federal",$ 240.000 Expensas,3.0,93.0,Arcos al 1400,si,2405500.0,2586559139784940.0,departamentos-,53971949,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arcos 1400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5667788,-58.4477442
USD 2.950,"Belgrano, Capital Federal",$ 700.000 Expensas,5.0,280.0,Cramer 2200,si,4174250.0,1.49080357142857e+16,departamentos-,53623091,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cramer 2200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5632963,-58.4624246
500000,"Belgrano, Capital Federal",$ 160.000 Expensas,2.0,47.0,AV. DEL LIBERTADOR 5500. Entre Jose hernandez y Virrey del pi,no,500000.0,1.06382978723404e+16,departamentos-,43076968,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"AV. DEL LIBERTADOR 5500. Entre Jose hernandez y Virrey del pi,Belgrano, Ciudad de Buenos Aires, Argentina",,
550000,"Belgrano, Capital Federal",$ 80.000 Expensas,2.0,47.0,Virrey Loreto  1500,no,550000.0,1.17021276595744e+16,departamentos-,54149793,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Loreto 1500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5654452,-58.4481166
2100000,"Belgrano, Capital Federal",,4.0,142.0,11 de Septiembre al 1700,no,2100000.0,1.47887323943661e+16,departamentos-,53407497,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Septiembre 1700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5626563,-58.4478966
450000,"Belgrano, Capital Federal",$ 70.000 Expensas,2.0,49.0,Blanco Encalada al 2300,no,450000.0,9183673469387750.0,departamentos-,53592563,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Blanco Encalada 2300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5586121,-58.4579789
USD 2.000,"Belgrano, Capital Federal",$ 393.000 Expensas,4.0,112.0,Arcos  2000,si,2830000.0,2526785714285710.0,departamentos-,47787012,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arcos 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5614183,-58.453024
